id,name,type,typecode,location_x,location_y,adname
B0FFH89EB1,地坛公园-斋宫,风景名胜;风景名胜;风景名胜,110200,116.413839,39.954591,东城区
B000A8VRW4,密虹公园-鼓楼(果园北街),风景名胜;风景名胜;风景名胜,110200,116.835201,40.374484,密云区
B000A86561,龙潭公园-龙潭湖,风景名胜;风景名胜相关;旅游景点,110000,116.441747,39.880259,东城区
B000A9LFCD,青春路公园,风景名胜;公园广场;公园,110101,116.633332,40.328408,怀柔区
B000A7OJPQ,北海公园-售票处,生活服务;售票处;公园景点售票处,70306,116.389896,39.922842,西城区
B0FFH17847,窦店人民公园,风景名胜;公园广场;公园,110101,116.070321,39.664017,房山区
B000AA0NM2,天坛公园-神厨,风景名胜;风景名胜;风景名胜,110200,116.414827,39.88409,东城区
B000A84CX7,北海公园-小西天,风景名胜;风景名胜;风景名胜,110200,116.38492,39.930065,西城区
B000A853V3,北海公园-阅古楼,风景名胜;风景名胜;风景名胜,110200,116.388221,39.926209,西城区
B000A75505,白浮泉公园,风景名胜;公园广场;公园,110101,116.271054,40.205708,昌平区
B000A883MX,地铁文化公园,风景名胜;公园广场;公园,110101,116.326103,39.781666,大兴区
B0FFFSYFE5,北京国际雕塑公园庙会,风景名胜;风景名胜相关;旅游景点,110000,116.239316,39.905699,石景山区
B0FFHUE70T,大兴生态文明教育公园,风景名胜;公园广场;公园,110101,116.356873,39.776894,大兴区
B000A9PHQ0,乐谷草地音乐公园,风景名胜;公园广场;公园,110101,117.150017,40.079389,平谷区
B000A9PIP5,北海公园-积翠,风景名胜;风景名胜;风景名胜,110200,116.388945,39.92349,西城区
B000A9PHV9,北海公园-堆云,风景名胜;风景名胜;风景名胜,110200,116.389157,39.924295,西城区
B000A9PINZ,北海公园-涤霭,风景名胜;风景名胜;风景名胜,110200,116.389155,39.924876,西城区
B000A9PIPX,北海公园-镜香,风景名胜;风景名胜;风景名胜,110200,116.392892,39.929994,西城区
B000A9PIYA,北海公园-观妙,风景名胜;风景名胜;风景名胜,110200,116.392157,39.930482,西城区
B000A888NY,太平郊野公园(东小口镇安全生产服务中心西南),风景名胜;公园广场;公园,110101,116.395271,40.063365,昌平区
B0FFF593AE,中山公园-愉园,风景名胜;风景名胜;风景名胜,110200,116.395648,39.912193,东城区
B0FFIL91ZZ,张镇浅山公园,风景名胜;公园广场;公园,110101,116.941181,40.15232,顺义区
B000A7N4BI,欢乐谷,体育休闲服务;休闲场所;游乐场,80501,116.494823,39.867779,朝阳区
B0FFFEF2KU,龙泉寺,风景名胜;风景名胜;寺庙道观,110205,116.091398,40.103297,海淀区
B000AA20GN,世界公园-大卫,风景名胜;风景名胜;风景名胜,110200,116.288285,39.811645,丰台区
B000A84GG2,兴隆公园-铁锁桥,风景名胜;风景名胜;风景名胜,110200,116.531645,39.912619,朝阳区
B0FFF5B5BB,北京国际雕塑公园-路易斯·巴斯德,风景名胜;风景名胜;风景名胜,110200,116.239445,39.904992,石景山区
B0FFGE8L23,中山公园-水榭,风景名胜;风景名胜;风景名胜,110200,116.393999,39.908501,东城区
B0FFFZA6HB,龙潭公园-龙门,风景名胜;风景名胜;风景名胜,110200,116.444587,39.878206,东城区
B000A8W1KH,小天鹅公园,风景名胜;公园广场;公园,110101,116.309335,39.913179,海淀区
B0FFHGFN6C,龙潭公园-龙亭,风景名胜;风景名胜;风景名胜,110200,116.438095,39.88021,东城区
B0FFHHZ5FY,地坛公园-华佗,风景名胜;风景名胜相关;旅游景点,110000,116.417189,39.955586,东城区
B0FFH5PGJI,莲石湖公园,风景名胜;公园广场;公园,110101,116.167238,39.89209,石景山区
B0FFIGK6KA,新街口城市森林公园,风景名胜;公园广场;公园,110101,116.371783,39.941353,西城区
B000A7YW74,八大处公园-灵光寺,风景名胜;风景名胜;寺庙道观,110205,116.183746,39.956292,石景山区
B0FFFAHGEW,金中都公园,风景名胜;公园广场;公园,110101,116.349743,39.87144,西城区
B0FFF9N3A5,中山公园-古井,风景名胜;风景名胜;风景名胜,110200,116.393311,39.910559,东城区
B000A84I1S,如苑公园,风景名胜;公园广场;公园,110101,116.417639,40.007444,朝阳区
B000A7ZLS2,洙水休闲公园,风景名胜;公园广场;公园,110101,117.256135,40.161466,平谷区
B0FFGYK9GC,地坛公园-地坛牌楼,风景名胜;风景名胜;风景名胜,110200,116.408573,39.95325,东城区
B000A81AEX,石榴庄公园,风景名胜;公园广场;公园,110101,116.422525,39.83341,丰台区
B000A08881,北京鹫峰国家森林公园,风景名胜;风景名胜;省级景点,110203,116.085213,40.056718,海淀区
B0FFI0982K,SKYLINE蹦床公园,体育休闲服务;运动场馆;运动场所,80100,116.403513,40.11147,昌平区
B0FFF3BSVK,莲石湖湿地公园,风景名胜;公园广场;公园,110101,116.151934,39.904396,门头沟区
B000A83C9X,天坛公园-神乐署,风景名胜;风景名胜;风景名胜,110200,116.405563,39.878706,东城区
B000A80IO9,首钢松林公园,风景名胜;公园广场;公园,110101,116.207317,39.905553,石景山区
B0FFFT7UAF,中山公园-古树,风景名胜;风景名胜;风景名胜,110200,116.395009,39.909834,东城区
B0FFFT7UI7,中山公园-桃源,风景名胜;风景名胜;风景名胜,110200,116.395185,39.910258,东城区
B000A9PHV7,龙潭西湖公园-大海贼,风景名胜;风景名胜;风景名胜,110200,116.433979,39.876882,东城区
B0FFIL66VA,龙头井微公园,风景名胜;公园广场;公园,110101,116.387598,39.933843,西城区
B0FFHC97IQ,永定河公园,风景名胜;公园广场;公园,110101,116.110059,39.9466,门头沟区
B000A849EB,CKC国际宠物公园,风景名胜;公园广场;公园,110101,116.752968,39.916461,通州区
B0FFGY1CPR,金福湿地公园,风景名胜;公园广场;公园,110101,116.600897,39.826425,通州区
B0FFF5498F,永定河休闲森林公园,风景名胜;风景名胜;风景名胜,110200,116.177414,39.889473,石景山区
B000A7WSHS,回龙观体育公园,风景名胜;公园广场;公园,110101,116.341975,40.078941,昌平区
B000A9JUPA,香山公园-石屏,风景名胜;风景名胜相关;旅游景点,110000,116.192715,39.986751,海淀区
B0FFIMAHA7,玉河公园南园,风景名胜;风景名胜相关;旅游景点,110000,116.40075,39.93261,东城区
B000A0884A,北京黑龙潭自然风景区,风景名胜;风景名胜;国家级景点,110202,116.794002,40.565302,密云区
B0FFH6SJTI,玲珑公园-叠泉,风景名胜;风景名胜;风景名胜,110200,116.295505,39.929819,海淀区
B000A7RHT2,蟒山国家森林公园售票处,生活服务;售票处;公园景点售票处,70306,116.277618,40.255273,昌平区
B0FFIQVZBF,香山公园-飞秀,风景名胜;风景名胜;风景名胜,110200,116.19026,39.989132,海淀区
B0FFIQVTVC,香山公园-卓笔,风景名胜;风景名胜;风景名胜,110200,116.189312,39.988495,海淀区
B0FFHB825R,红色主题公园,风景名胜;公园广场;公园,110101,116.2636,39.693322,大兴区
B0FFFW4YAI,万顷郊野公园,风景名胜;公园广场;公园,110101,115.78626,39.88803,房山区
B0FFILFRAN,大兴滨河森林公园,风景名胜;公园广场;公园,110101,116.31297,39.707674,大兴区
B0FFH06I1N,古槐溪语公园,风景名胜;公园广场;公园,110101,116.659385,40.410239,怀柔区
B000A7VRNI,皇城根遗址公园,风景名胜;风景名胜;风景名胜,110200,116.407104,39.91253,东城区
B0FFINEWCA,永定湖公园(建设中),风景名胜;公园广场;公园,110101,116.132026,39.897777,门头沟区
B000A7Y0K2,八达岭国家森林公园,风景名胜;风景名胜;省级景点,110203,116.029451,40.34431,延庆区
B0FFIAMDT5,北京国际雕塑公园-柱,风景名胜;风景名胜;风景名胜,110200,116.249035,39.90677,石景山区
B000A85DG4,天坛东里南社区居民事务代办处,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,116.419614,39.874262,东城区
B000A8WDEC,水堡鑫居民俗客栈,体育休闲服务;休闲场所;休闲场所,80500,116.816763,40.524358,密云区
B0FFFORP9L,北京颐和居民俗旅店,住宿服务;住宿服务相关;住宿服务相关,100000,117.128078,40.535756,密云区
