,id,name,type,typecode,location_x,location_y,adname
342,B000A7XE5O,湘芙蓉(顺义怡馨家园店),餐饮服务;中餐厅;湖南菜(湘菜),050108,116.647365,40.117796,顺义区
343,B000AA1DKY,崔记铁锅炖鱼,餐饮服务;中餐厅;海鲜酒楼,050119,117.101618,40.134035,平谷区
344,B000A7TYKS,眉州东坡酒楼(密云店),餐饮服务;中餐厅;四川菜(川菜),050102,116.863666,40.376635,密云区
345,B000A8VZVQ,田老师红烧肉(朝阳广渠家园店),餐饮服务;快餐厅;快餐厅,050300,116.447192,39.892216,东城区
346,B000A87FA7,全聚德烤鸭店(马家堡店),餐饮服务;中餐厅;北京菜,050111,116.378451,39.843858,丰台区
347,B000A7Q6N9,清香阁(东大桥店),餐饮服务;中餐厅;海鲜酒楼,050119,116.454801,39.923682,朝阳区
348,B000A08519,鸿毛酒楼(上地七街店),餐饮服务;中餐厅;综合酒楼,050101,116.304125,40.045588,海淀区
349,B000A85WRW,燕郊烧鸽子(和众店),餐饮服务;中餐厅;东北菜,050113,116.490471,39.883449,朝阳区
350,B000A85WRW,燕郊烧鸽子(和众店),餐饮服务;中餐厅;东北菜,050113,116.490471,39.883449,朝阳区
351,B000A83ZZT,金百万烤鸭店(万柳店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.303765,39.965829,海淀区
352,B0FFIJOMUI,四季民福烤鸭店(工体店),餐饮服务;中餐厅;北京菜,050111,116.449217,39.928949,朝阳区
353,B000A805UM,都王烤鸭(鸟巢店),餐饮服务;中餐厅;中餐厅,050100,116.402588,40.002213,朝阳区
354,B000A7OQQY,大红果(平谷店)(装修中),餐饮服务;中餐厅;中餐厅,050100,117.111652,40.153583,平谷区
355,B000A7RVI8,百合素食(草园胡同店),餐饮服务;中餐厅;中式素菜馆,050120,116.424161,39.942644,东城区
356,B000A8XPZ9,福满堂饺子馆(二七厂路),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.197975,39.832342,丰台区
357,B000A9OMZ3,莫尔顿牛排坊(北京丽晶酒店),餐饮服务;外国餐厅;牛扒店(扒房),050211,116.418969,39.916040,东城区
358,B000A84E1L,天颐隆蘑菇宴火锅店(石景山店),餐饮服务;中餐厅;火锅店,050117,116.233430,39.890543,石景山区
359,B000A80UNX,便宜坊(幸福店),餐饮服务;中餐厅;北京菜,050111,116.431406,39.887114,东城区
360,B000A8ZKGE,运河湾,餐饮服务;中餐厅;中餐厅,050100,116.723596,39.866487,通州区
361,B000A42011,丽城羊腿(古城北路店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.190641,39.918078,石景山区
362,B000A7BC6X,煲煲好(朝阳门店),餐饮服务;中餐厅;广东菜(粤菜),050103,116.435184,39.928039,朝阳区
363,B000A9OU3Q,大厨房涮肉(多宝路),餐饮服务;中餐厅;火锅店,050117,116.166200,39.739610,房山区
364,B000A85NPC,北平食府(六里桥店),餐饮服务;中餐厅;北京菜,050111,116.317981,39.884039,丰台区
365,B000A82T8Y,紫光园(常营店),餐饮服务;中餐厅;清真菜馆,050121,116.588007,39.928567,朝阳区
366,B000A7XE1B,香融府,餐饮服务;中餐厅;综合酒楼,050101,116.379336,39.836925,丰台区
367,B000A7R4UY,友乐居羊蝎子,餐饮服务;中餐厅;火锅店,050117,116.353076,39.934635,西城区
368,B000A7VC6Y,工体食尚,餐饮服务;中餐厅;中餐厅,050100,116.444327,39.929922,朝阳区
369,B000A7GVNM,西贝莜面村(香山店),餐饮服务;中餐厅;西北菜,050115,116.208670,39.962090,海淀区
370,B0FFFFOLPN,甲乙丙丁港式茶餐厅(甲乙丙丁南法信店),餐饮服务;快餐厅;茶餐厅,050305,116.608675,40.114436,顺义区
371,B000A7YECE,千禧酒楼(北京市朝阳区体检中心西北),餐饮服务;中餐厅;综合酒楼,050101,116.470533,39.917402,朝阳区
372,B000A08517,聚宝小厨(上地店),餐饮服务;中餐厅;广东菜(粤菜),050103,116.306102,40.046311,海淀区
373,B000A88ADG,聚德华天老西安饭庄(方庄店),餐饮服务;中餐厅;清真菜馆,050121,116.426322,39.865462,丰台区
374,B000A9JHVQ,重庆酸辣粉,餐饮服务;中餐厅;中餐厅,050100,116.408966,40.047490,朝阳区
375,B000A8XDI0,老北京炸酱面(天秀路店),餐饮服务;中餐厅;北京菜,050111,116.279403,40.021189,海淀区
376,B000A7QTAH,湘水芙蓉餐馆(学院西门店),餐饮服务;中餐厅;湖南菜(湘菜),050108,116.661297,40.354265,怀柔区
377,B0FFGZJCJI,鸿云楼(怀柔店),餐饮服务;中餐厅;清真菜馆,050121,116.673475,40.362725,怀柔区
378,B000A7HI4N,福兰德酒楼(龙旺庄店),餐饮服务;中餐厅;综合酒楼,050101,116.686420,39.927469,通州区
379,B000A1E10A,陈亨卤煮小肠(广外分店),餐饮服务;中餐厅;中餐厅,050100,116.332465,39.888139,西城区
380,B000A560F1,王胖子驴肉火烧(手帕口店),餐饮服务;中餐厅;中餐厅,050100,116.342754,39.884750,西城区
381,B000A81JDJ,北京饭店谭家厅,餐饮服务;中餐厅;中餐厅,050100,116.408321,39.908792,东城区
